STU_ID,BYS87A,BYS87C,BYS87F,F1S18A,F1S18B,F1S18C,F1S18D,F1S18E
109221,NA,NA,NA,NA,NA,NA,NA,NA
109222,3,1,2,3,3,2,3,3
109223,3,4,3,2,1,2,2,2
109224,2,3,2,4,2,2,2,3
109225,2,3,2,4,3,3,4,4
109226,2,3,2,2,2,2,3,2
109227,2,3,2,3,3,2,3,3
109230,3,3,3,2,1,1,3,2
109231,NA,NA,NA,2,1,1,2,2
109232,3,4,2,3,2,3,3,3
110101,3,4,3,2,2,2,3,2
110102,2,3,3,3,3,3,3,3
110103,2,2,2,2,3,3,3,3
110104,2,3,1,2,3,2,4,4
110105,3,3,2,4,3,3,2,3
110106,2,2,2,4,3,4,3,4
110107,2,2,2,3,2,2,3,2
110108,3,3,2,2,2,3,3,3
110109,2,2,2,3,3,4,3,4
110111,4,4,4,NA,NA,NA,NA,NA
110114,1,2,1,3,3,3,2,3
110116,3,3,3,3,2,3,3,3
110117,3,3,3,3,4,4,4,4
110118,4,3,3,1,2,2,2,2
110119,3,3,3,4,3,3,4,4
110120,1,2,1,2,2,2,2,2
110122,2,4,4,2,2,2,2,2
110123,3,3,3,3,3,3,3,4
110124,1,2,2,3,3,3,3,3
110125,3,4,2,NA,NA,NA,NA,NA
110126,2,3,3,2,2,2,2,2
110127,2,4,2,4,3,3,3,2
110128,1,4,1,NA,NA,NA,NA,NA
110129,3,3,2,NA,NA,NA,NA,NA
110130,3,3,3,NA,NA,NA,NA,NA
110201,2,2,2,NA,NA,NA,NA,NA
110202,3,2,1,4,4,4,4,4
110203,3,3,2,2,2,2,3,2
110204,2,2,2,3,3,3,3,3
110205,2,3,2,NA,NA,NA,NA,NA
110206,3,3,3,NA,NA,NA,NA,NA
110207,NA,NA,NA,4,4,4,4,4
110209,3,3,3,NA,NA,NA,NA,NA
110210,3,3,3,2,3,2,3,2
110211,3,3,3,1,1,1,1,1
110213,3,3,2,NA,NA,NA,NA,NA
110214,3,3,3,2,2,2,3,4
110215,3,3,3,2,2,2,3,3
110218,4,4,4,2,2,2,3,2
110219,1,3,4,4,4,4,4,4
110220,2,4,4,2,3,4,3,3
110221,2,3,3,4,4,4,4,4
110222,2,3,2,NA,NA,NA,NA,NA
110224,NA,NA,NA,NA,NA,NA,NA,NA
110225,2,3,2,2,2,3,4,3
110226,3,4,4,3,2,3,3,3
110227,2,2,2,NA,NA,NA,NA,NA
110228,2,2,2,3,2,2,4,2
111101,3,3,2,NA,NA,NA,NA,NA
111102,NA,NA,NA,NA,NA,NA,NA,NA
111103,3,4,3,NA,NA,NA,NA,NA
111105,NA,NA,NA,NA,NA,NA,NA,NA
111107,3,3,3,NA,NA,NA,NA,NA
111108,2,3,2,NA,NA,NA,NA,NA
111109,1,1,1,3,4,2,3,2
111112,1,NA,1,4,2,2,3,2
111113,NA,NA,NA,3,2,3,3,3
111114,4,4,4,1,1,1,1,1
111115,3,3,2,2,2,2,2,2
111116,3,3,1,NA,NA,NA,NA,NA
111117,1,1,1,NA,NA,NA,NA,NA
111118,3,3,3,NA,NA,NA,NA,NA
111119,2,3,3,1,2,2,2,2
111120,3,4,2,4,4,4,4,4
111121,1,4,4,NA,NA,NA,NA,NA
111122,3,3,3,2,2,2,2,2
111124,3,3,3,2,2,1,2,2
111125,1,1,1,3,3,4,3,4
111126,2,2,2,4,4,4,4,4
111128,3,3,3,2,2,2,2,2
111130,NA,NA,NA,4,4,4,4,4
111131,2,2,2,2,2,2,2,3
111132,NA,NA,NA,NA,NA,NA,NA,NA
111133,2,3,2,2,2,2,2,2
111134,4,4,4,NA,NA,NA,NA,NA
111161,NA,NA,NA,NA,NA,NA,NA,NA
111162,NA,NA,NA,NA,NA,NA,NA,NA
111201,NA,NA,NA,NA,NA,NA,NA,NA
111202,2,3,2,NA,NA,NA,NA,NA
111203,3,4,3,NA,NA,NA,NA,NA
111204,2,3,3,NA,NA,NA,NA,NA
111206,3,3,2,NA,NA,NA,NA,NA
111208,3,4,2,NA,NA,NA,NA,NA
111210,3,2,2,NA,NA,NA,NA,NA
111211,3,3,3,NA,NA,NA,NA,NA
111213,2,3,3,NA,NA,NA,NA,NA
111214,3,3,3,NA,NA,NA,NA,NA
111216,2,2,2,NA,NA,NA,NA,NA
111217,2,3,2,NA,NA,NA,NA,NA
111218,3,3,3,NA,NA,NA,NA,NA
111219,3,3,3,NA,NA,NA,NA,NA
111220,3,3,3,NA,NA,NA,NA,NA
111221,2,2,3,NA,NA,NA,NA,NA
111222,2,3,2,NA,NA,NA,NA,NA
112101,4,3,3,3,2,3,3,2
112102,NA,NA,NA,NA,NA,NA,NA,NA
112104,3,3,2,4,3,3,4,4
112105,3,2,3,4,3,3,4,3
112106,2,2,2,NA,NA,NA,NA,NA
112107,3,4,4,3,2,2,3,3
112108,3,3,3,2,2,2,2,2
112109,NA,NA,NA,NA,NA,NA,NA,NA
112110,4,4,4,2,2,3,3,3
112111,3,4,2,2,2,2,2,2
112112,4,4,3,2,1,1,3,2
112113,2,2,2,3,4,4,4,4
112114,2,2,1,3,3,3,3,3
112115,3,3,3,1,1,1,1,2
112116,3,4,4,1,1,2,3,2
112118,NA,NA,NA,4,3,3,2,3
112120,4,4,4,3,3,2,4,3
112122,3,3,2,2,3,3,NA,2
112123,NA,NA,NA,NA,NA,NA,NA,NA
112124,2,2,2,2,1,1,1,2
112162,NA,NA,NA,NA,NA,NA,NA,NA
112201,2,2,2,2,3,3,3,3
112203,2,3,3,4,3,3,3,3
