STU_ID,F2PS1AID,F3TZSTEM1TOT,F3TZSTEM2GPA,CREDGRAD
217129,0,15,3,0
217217,1,42,2.5,0
217223,NA,2,3.5,0
217227,1,32,2.25,0
217317,1,23,4,0
217319,NA,13,3,0
218104,NA,7,4,0
218114,NA,0,4,0
218212,1,15,2.5,0
218214,1,4,3.25,0
218219,1,46,2.75,0
219103,1,4,3.25,0
219106,0,40,2.75,0
219109,NA,6,2.5,0
219116,0,44,3.75,0
219119,1,6,3.25,0
219122,0,4,3.25,0
219125,0,9,2.25,0
219208,1,39,1.75,0
219211,NA,5,2.25,0
219213,1,6,3.25,0
219224,1,24,2.25,0
219233,1,28,3.25,0
220106,0,9,3,0
220205,0,18,3.5,0
220223,1,19,2.5,0
221101,NA,7,2.75,0
221208,1,15,2.75,0
221212,1,4,3.75,0
221213,1,33,3,0
221218,1,46,3.5,0
222102,1,28,2.5,0
222106,NA,8,2.75,0
222110,NA,38,2.25,0
222114,1,12,2.5,0
222201,1,26,3.5,0
222209,1,28,3.25,0
223123,NA,27,3,0
223126,1,12,3,0
223203,1,6,3.5,0
223206,0,11,2.75,0
223220,0,5,3.5,0
223221,1,26,3,0
224206,NA,1,3.5,0
225103,NA,9,3,0
225116,1,6,3.5,0
225118,0,14,3,0
225204,1,0,2.75,0
225213,0,11,1.75,0
225224,1,8,2.25,0
226109,1,7,2.25,0
226119,1,15,2,0
226125,0,38,2,0
226205,1,40,2.75,0
227102,0,12,3.25,0
227106,0,19,2.25,0
227121,0,13,3.75,0
227126,1,28,2.25,0
227202,0,5,2.75,0
227205,1,48,3.25,0
227209,1,9,2.5,0
227221,1,13,3.25,0
228101,1,6,3,0
228108,0,17,4,0
228118,1,3,3.5,0
228120,1,7,3.5,0
228204,0,5,2.75,0
228221,NA,11,2.75,0
228224,1,7,2.25,0
229116,1,17,2.75,0
229202,0,5,3.5,0
229219,0,5,4,0
229222,1,39,3,0
229261,1,6,3.5,0
230101,1,10,3.5,0
230111,1,12,2.5,0
230114,1,7,3.75,0
230121,1,8,3.5,0
230203,1,23,2,0
230205,1,9,3.25,0
230208,0,6,2.5,0
230211,1,13,3.5,0
230217,1,18,2.25,0
230224,1,8,2.5,0
230233,0,31,2.5,0
231110,1,12,3.25,0
231111,1,11,3,0
231113,1,52,3.25,0
231201,1,11,2.75,0
231213,0,1,2.75,0
231217,0,1,3.5,0
231220,1,12,2.75,0
232104,1,10,2.5,0
232108,1,5,2.5,0
232111,0,8,3.25,0
232115,1,6,3.25,0
232117,1,7,3.25,0
232123,0,5,3.75,0
232201,1,48,3,0
233122,0,7,3,0
233123,NA,7,3,0
233134,1,14,3.25,0
233202,NA,0,3,0
233208,1,1,2.5,0
234107,1,6,3.25,0
234205,NA,10,3,0
234208,1,19,3,0
234212,1,7,3.5,0
234215,0,6,1.5,0
234216,1,5,3,0
234221,0,20,3.75,0
235103,0,40,2.25,0
235104,0,2,1.25,0
235112,1,14,1.5,0
235113,0,7,2.75,0
235207,1,9,1.75,0
235212,1,5,2.75,0
236101,0,26,2.25,0
236107,NA,39,3.5,0
236121,1,13,1.5,0
236131,NA,0,3.5,0
236226,1,7,3.75,0
237102,1,0,NA,0
237122,1,35,2.5,0
237128,1,0,3.75,0
237130,NA,0,3.75,0
237207,1,10,3,0
237215,NA,9,3,0
237222,1,8,3,0
237223,1,42,3.5,0
237228,1,8,3.25,0
237230,1,10,3.25,0
238109,1,26,3,0
238204,1,21,2.5,0
238207,1,19,2.25,0
238210,1,26,3,0
